02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (01E30D50)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (01E30DF8)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (01E30EA0)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (01E30F48)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (01E30FF0)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (01E31098)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Static' added. (01E31140)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (01E311E8)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (01E31290)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (05DC9648)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (05DC96F0)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (05DC9798)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (05DC9840)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (05DC98E8)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (05DC9990)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (05DC9A38)
02/07/2014 01:02:49 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
02/07/2014 01:02:49 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (05DC9AE0)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/Checkbox' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/ImageButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/ImageButton' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/RadioButton' using base type 'CEGUI/RadioButton', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/RadioButton' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'TaharezLook/FrameWindow' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'TaharezLook/Titlebar' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/SystemButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/Editbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'TaharezLook/Editbox' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/MultiLineEditbox' using base type 'CEGUI/MultiLineEditbox', window renderer 'Falagard/MultiLineEditbox' Look'N'Feel 'TaharezLook/MultiLineEditbox' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/Menubar' using base type 'CEGUI/Menubar', window renderer 'Falagard/Menubar' Look'N'Feel 'TaharezLook/Menubar' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/PopupMenu' using base type 'CEGUI/PopupMenu', window renderer 'Falagard/PopupMenu' Look'N'Feel 'TaharezLook/PopupMenu' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/MenuItem' using base type 'CEGUI/MenuItem', window renderer 'Falagard/MenuItem' Look'N'Feel 'TaharezLook/MenuItem' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/AlternateProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/AltProgressBar' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/ProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/ProgressBar' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/VUMeter' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/VUMeter' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/VerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/VerticalScrollbar' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/HorizontalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/HorizontalScrollbar' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/VerticalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/VerticalScrollbarThumb' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/HorizontalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/HorizontalScrollbarThumb' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/LargeVerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/LargeVerticalScrollbar' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/LargeVerticalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/LargeVerticalScrollbarThumb' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/TabButton' using base type 'CEGUI/TabButton', window renderer 'Falagard/TabButton' Look'N'Feel 'TaharezLook/TabButton' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/TabControl' using base type 'CEGUI/TabControl', window renderer 'Falagard/TabControl' Look'N'Feel 'TaharezLook/TabControl' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/TabContentPane' using base type 'DefaultWindow', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/TabContentPane' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/TabButtonPane' using base type 'DefaultWindow', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/TabButtonPane' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/ComboDropList' using base type 'CEGUI/ComboDropList', window renderer 'Falagard/Listbox' Look'N'Feel 'TaharezLook/ComboDropList' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/ComboEditbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'TaharezLook/ComboEditbox' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/Combobox' using base type 'CEGUI/Combobox', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/Combobox' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/Listbox' using base type 'CEGUI/Listbox', window renderer 'Falagard/Listbox' Look'N'Feel 'TaharezLook/Listbox' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/ListHeader' using base type 'CEGUI/ListHeader', window renderer 'Falagard/ListHeader' Look'N'Feel 'TaharezLook/ListHeader' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/ListHeaderSegment' using base type 'CEGUI/ListHeaderSegment', window renderer 'Falagard/ListHeaderSegment' Look'N'Feel 'TaharezLook/ListHeaderSegment' and RenderEffect ''. (0018D694)
02/07/2014 01:02:49 (Std) 	Creating falagard mapping for type 'TaharezLook/MultiColumnList' using base type 'CEGUI/MultiColumnList', window renderer 'Falagard/MultiColumnList' Look'N'Feel 'TaharezLook/MultiColumnList' and RenderEffect ''. (0018D694)
